"n","prev","prev_se","subgroup","meting","year"
478,0.286610878661088,0.0207038154098355,"1",2003,2003
344,0.197674418604651,0.0215032198303599,"1",2005,2005
403,0.11166253101737,0.0157083184687234,"1",2007,2007
364,0.0769230769230769,0.013986013986014,"1",2009,2009
444,0.0698198198198198,0.0121079617277739,"1",2011,2011
361,0.0193905817174515,0.0072676197880489,"1",2013,2013
533,0.0300187617260788,0.007398134756606,"1",2015,2015
555,0.027027027027027,0.00688961008641223,"1",2017,2017
541,0.033271719038817,0.00771778990517399,"1",2019,2019
711,0.267229254571027,0.0166072180163588,"2",2003,2003
571,0.220665499124343,0.0173696769768946,"2",2005,2005
534,0.129213483146067,0.0145293491497533,"2",2007,2007
589,0.0916808149405773,0.0119006261706011,"2",2009,2009
640,0.0734375,0.0103191962657376,"2",2011,2011
529,0.0207939508506616,0.00620995694531412,"2",2013,2013
736,0.0244565217391304,0.00569740366737805,"2",2015,2015
706,0.0297450424929178,0.00639816850345465,"2",2017,2017
649,0.0400616332819723,0.00770368466640696,"2",2019,2019
642,0.280373831775701,0.0177416169138938,"3",2003,2003
458,0.205240174672489,0.0188925700244534,"3",2005,2005
500,0.132,0.0151529278505802,"3",2007,2007
472,0.0826271186440678,0.012685973489367,"3",2009,2009
591,0.0744500846023689,0.0108070339229588,"3",2011,2011
547,0.0237659963436929,0.00651866491216959,"3",2013,2013
672,0.03125,0.00671691122639334,"3",2015,2015
709,0.0352609308885755,0.00693162710305657,"3",2017,2017
620,0.0403225806451613,0.00790663104204423,"3",2019,2019
1650,0.345454545454545,0.011709949807201,"4",2003,2003
1287,0.290598290598291,0.0126611209821794,"4",2005,2005
1424,0.191011235955056,0.0104207326081874,"4",2007,2007
1297,0.137239784117194,0.00955834204254906,"4",2009,2009
1540,0.118181818181818,0.00822897131070441,"4",2011,2011
1163,0.058469475494411,0.00688301533571739,"4",2013,2013
1597,0.0588603631809643,0.00589144811733745,"4",2015,2015
1524,0.0551181102362205,0.00584771193196707,"4",2017,2017
1312,0.0602134146341463,0.00656991730337474,"4",2019,2019
1779,0.354131534569983,0.0113419691759419,"5",2003,2003
1375,0.295272727272727,0.0123063380494573,"5",2005,2005
1541,0.195327709279689,0.0101025519235655,"5",2007,2007
1374,0.144832605531295,0.0094978098409288,"5",2009,2009
1660,0.124698795180723,0.00811122967324036,"5",2011,2011
1259,0.0595710881652105,0.00667329666732967,"5",2013,2013
1704,0.062793427230047,0.00587851231708307,"5",2015,2015
1631,0.055793991416309,0.00568503697092866,"5",2017,2017
1421,0.067558057705841,0.0066604765798721,"5",2019,2019
1207,0.804473902236951,0.0114204888055509,"6",2003,2003
952,0.792016806722689,0.0131610658238155,"6",2005,2005
1272,0.751572327044025,0.0121202785470446,"6",2007,2007
1094,0.696526508226691,0.0139065411282634,"6",2009,2009
1183,0.673710904480135,0.0136373293821556,"6",2011,2011
1013,0.566633761105627,0.0155771680325389,"6",2013,2013
1181,0.526672311600339,0.0145348379791304,"6",2015,2015
1024,0.4951171875,0.0156318895471207,"6",2017,2017
862,0.522041763341067,0.0170233890026197,"6",2019,2019
1910,0.36020942408377,0.0109873634470969,"7",2003,2003
1445,0.295501730103806,0.0120070517602496,"7",2005,2005
1662,0.201564380264741,0.00984332963963315,"7",2007,2007
1474,0.149932157394844,0.00930192461137718,"7",2009,2009
1791,0.128978224455611,0.00792220703377359,"7",2011,2011
1405,0.0654804270462633,0.00660186134074823,"7",2013,2013
1790,0.0664804469273743,0.00588984009799409,"7",2015,2015
1757,0.0597609561752988,0.00565673265341849,"7",2017,2017
1510,0.0708609271523179,0.00660540053338046,"7",2019,2019
1109,0.807935076645627,0.0118342947065506,"8",2003,2003
883,0.800679501698754,0.0134515101807593,"8",2005,2005
1187,0.748946925021062,0.0125911659830057,"8",2007,2007
1047,0.700095510983763,0.0141678610014954,"8",2009,2009
1081,0.678075855689177,0.014216871485452,"8",2011,2011
949,0.570073761854584,0.0160789740020105,"8",2013,2013
1113,0.539982030548068,0.0149459890084255,"8",2015,2015
965,0.498445595854922,0.0161038378401646,"8",2017,2017
784,0.534438775510204,0.0178261066297487,"8",2019,2019
1197,0.361737677527151,0.0138941149383499,"9",2003,2003
858,0.291375291375291,0.0155218719079794,"9",2005,2005
1084,0.203874538745387,0.0122421592370604,"9",2007,2007
905,0.146961325966851,0.0117761051863263,"9",2009,2009
1088,0.113970588235294,0.00963841656235268,"9",2011,2011
889,0.0652418447694038,0.00828717032285508,"9",2013,2013
1112,0.0557553956834532,0.00688380687278322,"9",2015,2015
1156,0.0441176470588235,0.00604251032068616,"9",2017,2017
1099,0.0627843494085532,0.00732055984388886,"9",2019,2019
410,0.236585365853659,0.0210141837370814,"10",2003,2003
329,0.182370820668693,0.0213215584559814,"10",2005,2005
313,0.108626198083067,0.0176165120653787,"10",2007,2007
350,0.0714285714285714,0.0137857667777723,"10",2009,2009
387,0.0645994832041344,0.0125117965035337,"10",2011,2011
322,0.0217391304347826,0.00813946591792366,"10",2013,2013
435,0.0160919540229885,0.00603999783293948,"10",2015,2015
406,0.0221674876847291,0.0073158191822481,"10",2017,2017
373,0.0348525469168901,0.00950917028965041,"10",2019,2019
2219,0.74808472284813,0.00921768525721436,"11",2003,2003
1714,0.717619603267211,0.0108764141815589,"11",2005,2005
2232,0.643817204301075,0.010138366176789,"11",2007,2007
1892,0.582980972515856,0.0113385980860752,"11",2009,2009
2173,0.52416014726185,0.0107159948110377,"11",2011,2011
1786,0.432810750279955,0.0117271884705637,"11",2013,2013
2116,0.390831758034026,0.0106098285079168,"11",2015,2015
1870,0.388770053475936,0.0112757143015554,"11",2017,2017
1592,0.423994974874372,0.0123896318283482,"11",2019,2019
1801,0.364797334813992,0.01134607713232,"12",2003,2003
1399,0.305218012866333,0.0123161726924932,"12",2005,2005
1513,0.210178453403833,0.0104781036217599,"12",2007,2007
1442,0.150485436893204,0.00941891028969338,"12",2009,2009
1620,0.126543209876543,0.00826259967400544,"12",2011,2011
1326,0.0656108597285068,0.00680211259160159,"12",2013,2013
1678,0.066746126340882,0.00609461677084001,"12",2015,2015
1660,0.0602409638554217,0.00584158927327212,"12",2017,2017
1404,0.0683760683760684,0.00673819453630212,"12",2019,2019
1499,0.709139426284189,0.0117341689612272,"13",2003,2003
1197,0.685881370091896,0.0134216454069063,"13",2005,2005
1493,0.691225720026792,0.0119604106782606,"13",2007,2007
1269,0.645390070921986,0.0134346686299517,"13",2009,2009
1406,0.633001422475107,0.0128586794875452,"13",2011,2011
1215,0.526748971193416,0.0143297392556013,"13",2013,2013
1392,0.477011494252874,0.0133920458973485,"13",2015,2015
1283,0.436477007014809,0.0138513624352325,"13",2017,2017
1047,0.455587392550143,0.0153987012532335,"13",2019,2019
1942,0.374356333676622,0.0109848302760733,"14",2003,2003
1500,0.312,0.0119665979422254,"14",2005,2005
1641,0.214503351614869,0.0101360159513675,"14",2007,2007
1528,0.159031413612565,0.00935862031125802,"14",2009,2009
1754,0.134549600912201,0.00815025768936555,"14",2011,2011
1435,0.0689895470383275,0.00669259199514735,"14",2013,2013
1796,0.0707126948775056,0.00605050285258783,"14",2015,2015
1783,0.0622546270330903,0.00572366797692031,"14",2017,2017
1520,0.0743421052631579,0.00673075520288657,"14",2019,2019
2050,0.752682926829268,0.00953151866017429,"15",2003,2003
1588,0.726700251889169,0.0111868755747531,"15",2005,2005
2074,0.644648023143684,0.0105121377804061,"15",2007,2007
1798,0.589543937708565,0.0116042583096896,"15",2009,2009
1992,0.526606425702811,0.0111897047221372,"15",2011,2011
1660,0.433734939759036,0.012167431052423,"15",2013,2013
1985,0.403022670025189,0.0110121678822662,"15",2015,2015
1759,0.392268334280841,0.0116449632728212,"15",2017,2017
1448,0.435082872928177,0.0130329911136646,"15",2019,2019
1968,0.370426829268293,0.0108886024893971,"16",2003,2003
1503,0.302727877578177,0.0118547498083862,"16",2005,2005
1717,0.21316249271986,0.00988642509583681,"16",2007,2007
1517,0.158866183256427,0.00938855331912732,"16",2009,2009
1836,0.136710239651416,0.00801974912549611,"16",2011,2011
1439,0.0708825573314802,0.00676745774143282,"16",2013,2013
1834,0.0697928026172301,0.00595132865643485,"16",2015,2015
1824,0.0646929824561404,0.0057611919972633,"16",2017,2017
1550,0.0741935483870968,0.00665912954551541,"16",2019,2019
1357,0.71997052321297,0.0121935282207435,"17",2003,2003
1106,0.700723327305606,0.0137761728155454,"17",2005,2005
1365,0.702564102564103,0.0123774871416472,"17",2007,2007
1157,0.64390665514261,0.0140836255078139,"17",2009,2009
1303,0.645433614735226,0.0132577271820851,"17",2011,2011
1094,0.536563071297989,0.0150832742391174,"17",2013,2013
1274,0.479591836734694,0.014002118201113,"17",2015,2015
1198,0.443238731218698,0.0143584078153799,"17",2017,2017
969,0.463364293085655,0.0160274114680636,"17",2019,2019
2100,0.38047619047619,0.0105970875878202,"18",2003,2003
1585,0.312933753943218,0.011650590102599,"18",2005,2005
1783,0.224340998317443,0.0098817961963901,"18",2007,2007
1655,0.164954682779456,0.00912577158483005,"18",2009,2009
1903,0.140830267997898,0.00797594647639321,"18",2011,2011
1624,0.0782019704433498,0.00666449851968404,"18",2013,2013
1891,0.0750925436277102,0.00606200996576134,"18",2015,2015
1924,0.0675675675675676,0.00572384923070978,"18",2017,2017
1621,0.0789636027143738,0.00670030182481856,"18",2019,2019
1380,0.732608695652174,0.0119186630303683,"19",2003,2003
1083,0.713758079409049,0.0137413216937889,"19",2005,2005
1413,0.699929228591649,0.0121961164915326,"19",2007,2007
1180,0.654237288135593,0.0138515961775335,"19",2009,2009
1312,0.637957317073171,0.0132731607133007,"19",2011,2011
1082,0.532347504621072,0.0151756182239165,"19",2013,2013
1305,0.484291187739464,0.0138393841293896,"19",2015,2015
1204,0.442691029900332,0.0143207434301012,"19",2017,2017
981,0.460754332313965,0.0159226375099524,"19",2019,2019
1503,0.382568196939454,0.0125404743301333,"20",2003,2003
1215,0.299588477366255,0.0131470964965517,"20",2005,2005
1402,0.223965763195435,0.0111381276390225,"20",2007,2007
1411,0.153791637136782,0.00960716965883273,"20",2009,2009
1437,0.13848295059151,0.00911492023455486,"20",2011,2011
1225,0.0644897959183673,0.00702067803347031,"20",2013,2013
1558,0.0641848523748395,0.00621107827359979,"20",2015,2015
1615,0.0606811145510836,0.00594266893381693,"20",2017,2017
1309,0.079449961802903,0.00747767653146282,"20",2019,2019
6791,0.541010160506553,0.00604740924500869,"50",2003,2003
5272,0.497534142640364,0.00688681179724645,"50",2005,2005
6234,0.444497914661533,0.00629403490813712,"50",2007,2007
5490,0.37304189435337,0.00652756867016977,"50",2009,2009
6374,0.344838406024474,0.00595401700475036,"50",2011,2011
5421,0.260284080427965,0.00596014249042957,"50",2013,2013
6232,0.233472400513479,0.0053592349498436,"50",2015,2015
6060,0.216501650165016,0.00529113901830676,"50",2017,2017
5022,0.233970529669454,0.00597459137234094,"50",2019,2019
